cntry_name;cntry_iso3;ghi_2000;ghi_2008;ghi_2016;ghi_2025;pou_2000_2002;pou_2007_2009;pou_2015_2017;pou_2022_2024;wast_1998_2002;wast_1998_2002_est;wast_2006_2010;wast_2006_2010_est;wast_2014_2018;wast_2014_2018_est;wast_2020_2024;wast_2020_2024_est;stun_2000;stun_2008;stun_2016;stun_2024;mort_2000;mort_2008;mort_2016;mort_2023
Pakistan;PAK;36.2;32.3;25.4;26;20.4;15.1;11.5;16.5;14.1;;11.8;*;7.1;;10;*;40.3;45.3;40.7;33.6;10.8;9.1;7.3;5.8
Panama;PAN;17.3;12.3;9.2;7.5;23.2;11.2;6.7;5.7;1.4;*;1.2;;1.1;*;1;*;18.3;21.6;17.7;14;2.6;2;1.7;1.3
Papua New Guinea;PNG;31.3;32.8;31.9;31;26.7;27.6;28.2;28.7;8.1;*;7.9;*;7.2;*;6.9;*;37.1;46.4;47.6;47.6;7.2;6.2;5;4
Paraguay;PRY;12.8;8.3;5.2;5.2;10.3;3.6;2.6;5.2;1.6;;1.5;*;1;;1.2;*;18.5;13.9;6.3;3.2;3.4;2.8;2.1;1.7
Peru;PER;21.1;12.9;8;7.2;20.4;11;6.2;6.9;1.4;;0.8;;0.8;;0.6;;34.4;24.1;14;10.6;3.8;2.2;1.7;1.6
Philippines;PHL;23.9;21.4;17.7;13.4;18.5;16.4;9.7;3;8;;6.6;;6.8;;5.4;;34.5;33.4;30.4;27.7;3.7;3.1;2.8;2.7
Qatar;QAT;—;—;—;—;—;—;—;—;1.7;*;1.4;*;1.3;*;1.6;;9.4;7;6.2;5.4;1.2;1;0.8;0.6
Romania;ROU;8.1;6;<5;<5;< 2.5;< 2.5;< 2.5;< 2.5;4.3;;3.4;*;3.4;*;3.3;*;13.5;10.6;8;7;2.2;1.4;0.9;0.7
Russian Federation;RUS;10.6;6;5.5;<5;4.2;< 2.5;< 2.5;< 2.5;4.9;;3;*;3.1;*;2.9;*;17.8;11.7;11.1;10.2;1.9;1.1;0.8;0.4
Rwanda;RWA;49.7;36.4;28.2;21.7;37.6;36.5;33.7;24.4;8.7;;5.1;;2.2;;1.1;;48.7;46.8;35.8;29.8;18.5;7.6;4.6;4
Saudi Arabia;SAU;10.1;8.5;6.6;5.9;4.6;3.4;< 2.5;< 2.5;6.2;*;5.1;*;3.4;;3.9;;11;12.5;12.2;11.1;2.2;1.4;0.9;0.6
Senegal;SEN;32.5;20.9;16.8;15.6;21.1;10.9;8.9;5.1;10;;8.9;*;7.1;;10.2;;24.6;19.7;18.1;17.2;12.9;7;5.1;3.9
Serbia;SRB;—;5.3;<5;<5;—;< 2.5;< 2.5;< 2.5;—;;4;;3.9;;3.3;*;—;7.4;5.6;4.6;—;0.8;0.6;0.5
Sierra Leone;SLE;57.8;41.1;32.4;28.5;50;28.1;24.5;24.1;11.6;;7.5;;5.9;;6.3;;38.7;36.7;30.2;25.2;22.4;17.3;12.3;9.4
Slovakia;SVK;5.3;<5;<5;<5;6.2;5.1;5.3;3.1;1.1;*;1;*;1;*;1;*;4.9;3.8;3.5;3.1;1;0.7;0.6;0.6
Solomon Islands;SLB;18.9;18.8;21.8;20.4;11.2;14.1;18;20;7.1;*;4.3;;8.5;;5.4;*;31.1;33.2;30.5;29.8;3.1;2.8;2.5;2.1
Somalia;SOM;64.3;60.5;49.4;42.6;70;69.8;60.2;53.2;19.3;;14.3;;9.9;*;8.8;*;33.6;32.2;27.1;23.9;17.2;16.6;13;10.4
South Africa;ZAF;17.1;16.4;12.9;15.1;3.6;3.5;6.4;10;4.5;;5.4;;2.5;;3.3;*;26.6;24.5;22.2;24.4;7.1;6.4;3.7;3.5
South Sudan;SSD;—;—;—;37.5;—;—;—;22.3;—;;—;;—;;21;*;39.1;33.7;30.5;30;18.3;12.1;26.4;9.9
Sri Lanka;LKA;22.1;17.6;14.1;11.2;16.8;11.1;4.1;7.4;15.9;;13.5;;15.1;;9.3;;19.8;18.2;13.3;10.1;1.6;1.2;0.8;0.6
Sudan;SDN;—;—;27.5;—;—;—;9.8;—;—;;—;;16.3;;17.7;*;38.3;37.3;35.3;35.4;10.3;7.9;6.3;5
Suriname;SUR;14.9;10.4;10.8;10.4;11.5;7.3;9.3;9.7;7;;4.9;;5.5;;5.2;*;13.6;9.8;8.2;8;3.1;2.4;2;1.6
Syrian Arab Republic;SYR;14.8;17;23.7;30.6;7.5;5.6;14.2;39;4.9;;10.9;;14.7;*;12.2;*;28.3;28.6;27.4;23.5;2.3;1.9;3.2;2.1
Tajikistan;TJK;39.3;26.9;15.3;12.8;40;29.3;13.9;8.4;9.4;;5.6;;3.5;;6.4;;41.3;32;19.8;13.1;8;4.2;2.9;2.7
Tanzania (United Rep. of);TZA;40.3;29.4;24.7;21.1;32.8;25.1;21.9;20.2;5.6;;2.9;;4.5;;3.3;;47.6;41.8;34.1;29.9;12.8;7.7;5.2;3.9
Thailand;THA;17.5;12.3;10.4;9.7;17.3;10.6;7.9;4.6;8;*;4.7;;5.4;;7.2;;16.1;15.9;12.8;12.3;2.2;1.5;1.2;0.9
Timor-Leste;TLS;—;42.2;30.5;28;54.9;23.2;15.4;18.7;13.7;;21.3;;12.2;;8.3;;55;56.3;49.1;45.4;11.1;7.7;5.9;5
Togo;TGO;37.6;27.7;24.7;17.3;28.8;20.7;20.6;9.1;12;;6;;5.7;;4.4;*;31.6;28.5;25.1;23;12;9.4;7.3;5.8
Trinidad & Tobago;TTO;11.2;11;9.7;11;10.3;9.3;7;11.2;5.2;;5.1;*;4.8;*;4.9;*;5.3;7.9;8.4;7.8;2.9;2.6;2.2;1.9
Tunisia;TUN;9.1;7.6;6.1;6.2;4;3.6;2.8;3;2.9;;3.4;;2.1;;2.8;*;12.5;10;8.7;8.9;2.9;1.9;1.8;1.3
Türkiye;TUR;14.8;6.9;<5;<5;12.9;3.2;< 2.5;< 2.5;3;;1;;1.9;;1.3;*;17.4;13;7.2;5.5;3.7;2.1;1.3;1.3
Turkmenistan;TKM;19.9;14.3;10.2;9.7;6;4.6;3.4;4.3;8;;7.2;;4.2;;4.6;*;26.5;16.7;9.7;6.5;7;4.6;4.3;4
Uganda;UGA;36;28.6;29.1;20.2;21.2;19.8;35.4;22;5;;5.3;;4.6;;3.2;;44;38.3;28.7;23.5;14.6;8.7;5.2;3.9
Ukraine;UKR;12.8;10;9.7;10.4;2.7;< 2.5;< 2.5;6.9;8.2;;6.8;*;7.1;*;7.1;*;22.6;19.2;16.5;11.7;1.8;1.3;0.9;0.8
United Arab Emirates;ARE;<5;<5;<5;<5;< 2.5;5.3;3.5;< 2.5;1.1;*;1;*;1;*;1;*;1.6;1.3;1.6;1.4;1.1;0.9;0.7;0.5
Uruguay;URY;7.9;<5;<5;<5;3.6;< 2.5;< 2.5;< 2.5;1.6;;1.4;;0.8;;1.3;*;16.3;11.1;7.7;6.5;1.7;1.2;0.8;0.7
Uzbekistan;UZB;25.7;12.7;5.7;<5;19;6.2;< 2.5;< 2.5;9;;4.4;;1.8;;2.4;;29;17.8;10;6.7;6.1;3.6;1.8;1.3
Venezuela (Boliv. Rep. of);VEN;14.3;8.7;14.2;9.6;14.1;2.6;17.4;5.9;3.9;;4.5;;3.5;*;3.6;*;17.6;14.7;11.3;11.7;2.2;1.7;2.4;2.4
Viet Nam;VNM;25.7;19.7;14.1;11.1;19.5;12.5;7.7;5.3;9;;9.4;;6.1;;4.4;;41.1;29.6;22.8;19.2;3;2.4;2.2;2
Yemen;YEM;—;—;—;—;—;—;—;—;16.2;*;13.8;;12.8;*;16.8;;55.3;52.2;46.6;47.4;9.3;6;4.8;3.9
Zambia;ZMB;51.2;41.4;31.7;29.6;50.3;45.6;33.4;37.2;5.9;;5.6;;6.2;;3.8;*;52.1;46.4;36.5;32.3;15.3;8.6;5.9;4.5
Zimbabwe;ZWE;35.5;29.6;27.2;20.9;32.8;27.1;32.8;19.7;8.3;;2.4;;3.3;;5.1;;33.1;33.9;26.3;23.7;9.8;9.3;5.7;4.4
